feature,mean_abs_shap,rank
G3DSA.3.90.640.10,0.0,189
G3DSA.1.10.1200.170,0.0,190
G3DSA.2.60.110.10,0.0,191
PF06358,0.0,192
PF05549,0.0,193
PF05318,0.0,194
PF05381,0.0,195
PF01708,0.0,196
PF01725,0.0,197
PF03220,0.0,198
PF03310,0.0,199
PF13365,0.0,200
PF12503,0.0,201
PF07436,0.0,202
PF08500,0.0,203
PF07028,0.0,204
PF17493,0.0,205
PF17917,0.0,206
SSF69065,0.0,207
