feature,mean_abs_shap,rank
PF05629,0.0009892644519165815,125
PF01725,0.0008782580109784484,126
PF03251,0.0008247819722298251,127
G3DSA.2.60.40.1780,0.0007572219359269712,128
SSF52972,0.0007553653361750008,129
SSF51283,0.0007030777026890739,130
PF04196,0.0006421700252100657,131
PF03300,0.000640512771487062,132
PF00946,0.0006338365916289079,133
PF08467,0.0006298924310386338,134
PF05744,0.0006243997382125135,135
PF05733,0.0006009445763314208,136
PF05515,0.0005991324840387847,137
PF17919,0.0005697211465969156,138
PF06370,0.0005456430658521198,139
PF03310,0.0005132514271947826,140
PF10712,0.0005042467798753493,141
PF06656,0.0004777184237460658,142
PF05549,0.0004423966865708838,143
PF00692,0.00040612000076842666,144
SSF55658,0.0004008254654523817,145
PF03231,0.00039813862060045934,146
PF12603,0.0003858993137095799,147
PF11479,0.0003794943182999545,148
PF04660,0.0003154178377914107,149
PF12503,0.0002921446971093798,150
PF07255,0.00021956836555962213,151
PF03233,0.00019762302676538623,152
G3DSA.3.40.970.10,0.00019637991447513553,153
PF15518,0.00017282741098163925,154
PF04876,0.00016607322612959704,155
PF05880,0.0001196148964465891,156
G3DSA.1.20.58.1200,0.0001156634138531705,157
G3DSA.3.30.505.20,0.00010557053182825778,158
PF00073,8.305474692831031e-05,159
PF04817,6.967207141394268e-05,160
G3DSA.3.90.950.10,6.826010139073867e-05,161
PF03171,6.398114277689061e-05,162
PF17055,6.02445702524122e-05,163
G3DSA.3.90.70.80,5.711460127478715e-05,164
PF07124,4.706155710928914e-05,165
SSF48345,4.6857649736286314e-05,166
G3DSA.3.90.226.10,3.751150853312976e-05,167
SSF49870,2.8725366582780763e-05,168
G3DSA.3.40.50.150,2.4842451977169782e-05,169
PF05310,2.3376090383017695e-05,170
PF05903,2.1406639273564018e-05,171
G3DSA.1.20.120.1590,2.0326240222493747e-05,172
SSF52096,2.0097367589202787e-05,173
G3DSA.1.10.1200.170,1.4878042285508601e-05,174
PF05414,1.4434232061808273e-05,175
PF03033,6.903415485917627e-06,176
PF03557,6.700403880886787e-06,177
G3DSA.2.60.120.170,6.277666685865727e-06,178
PF06839,4.5402908686770104e-06,179
PF11252,3.1143800401564802e-06,180
G3DSA.3.40.91.60,0.0,181
