feature,mean_abs_shap,rank
PF02122,0.006856496234014664,70
G3DSA.2.40.70.10,0.006778412615422164,71
PF08440,0.006519531419961735,72
PF00863,0.006511435400259475,73
PF00098,0.005899699583825671,74
PF02495,0.005895786862363144,75
G3DSA.3.10.10.10,0.005647132505110825,76
PF01623,0.0055769786906932,77
PF04196,0.005437789521568553,78
PF01440,0.005297851482037395,79
PF00270,0.005267726022015778,80
PF05379,0.004973563249791509,81
PF00271,0.004729717728665936,82
PF00851,0.004659522284595466,83
PF03225,0.004532592863039883,84
G3DSA.3.10.20.370,0.004476078326846999,85
PF01524,0.00418532761900661,86
PF03688,0.00398871175544227,87
PF04662,0.003924341236395963,88
G3DSA.3.30.30.30,0.0036073041161341374,89
PF05533,0.0035451536545371976,90
PF07652,0.0034435233784837027,91
PF05629,0.0033682686938071344,92
PF05415,0.0031873631088260982,93
PF01573,0.0031470344517327315,94
G3DSA.3.90.70.100,0.0030732753740946384,95
PF00946,0.0029952962476123886,96
PF05892,0.002969732240124923,97
PF17493,0.0029647903977177877,98
PF08467,0.0027710964385469117,99
PF13611,0.0026122410768206696,100
PF05515,0.0026038381357311236,101
G3DSA.1.20.120.70,0.0025608157281623665,102
PF03716,0.0024389230892227316,103
G3DSA.3.90.70.150,0.002306631467203275,104
SSF52096,0.0022931802390043724,105
G3DSA.3.90.226.10,0.0020120511959209647,106
PF17646,0.0019173370093449908,107
PF05413,0.001867377159645873,108
G3DSA.2.60.120.590,0.0018501165790154993,109
PF11757,0.0017891466120053242,110
PF00077,0.0017183960920819827,111
PF12503,0.0016840676522359719,112
G3DSA.2.60.110.10,0.001546591540483493,113
PF15518,0.0015455625854814859,114
PF00078,0.001531084231026306,115
PF02248,0.001398027295208456,116
G3DSA.2.70.40.10,0.0012664563696564652,117
SSF51283,0.001240835944314672,118
PF14318,0.001055488298432586,119
PF00910,0.001007525596909777,120
PF06837,0.000933618225188948,121
PF04660,0.0009006076474818197,122
PF05414,0.0008890530668492909,123
PF03220,0.000853868714903078,124
PF04522,0.0008454214954947584,125
PF06656,0.0008043429977738091,126
G3DSA.4.10.60.10,0.0007794546750328245,127
PF06358,0.0007305636868367387,128
PF02247,0.0007021486361514862,129
PF17055,0.0006855051615819719,130
SSF49870,0.0006422739423623531,131
G3DSA.3.90.70.80,0.0005975289104501999,132
PF05381,0.0005690208885732827,133
PF04876,0.000565659278823842,134
G3DSA.3.90.550.20,0.000517031927384416,135
G3DSA.3.40.970.10,0.0005170214830677014,136
G3DSA.2.60.34.10,0.0004955835725008473,137
PF03310,0.000491929725653428,138
SSF48345,0.00048208812066388745,139
PF04521,0.0004738994097494556,140
G3DSA.2.60.120.220,0.000458012197417959,141
SSF103145,0.00044446875554641385,142
PF05880,0.00043763493547598753,143
PF08456,0.000378217965005717,144
SSF52972,0.000377499760647299,145
PF10712,0.00036270450638076484,146
PF01693,0.00035933983800840857,147
PF00692,0.000351248986858748,148
G3DSA.3.90.950.10,0.0003489644659073715,149
PF02160,0.00032613939729715533,150
PF07124,0.00030968178720938727,151
PF05310,0.00030482016464911983,152
PF13365,0.00028232825503923196,153
G3DSA.3.40.50.150,0.00027890894386154363,154
PF03300,0.00026546745910411646,155
PF12603,0.0002596801788375557,156
PF17464,0.0002414658449771478,157
PF03231,0.00019858317426664252,158
G3DSA.1.20.58.1200,0.00019838500695199874,159
SSF56831,0.000185601123754668,160
PF12467,0.00016381164911114017,161
PF05744,0.00015318889808004732,162
PF01725,0.00013510330858412722,163
SSF54001,0.00012181471533280098,164
PF05733,8.553787372531494e-05,165
G3DSA.3.40.91.60,7.111952090338601e-05,166
PF06692,6.242541665055396e-05,167
G3DSA.2.60.40.1780,5.540430867932846e-05,168
PF03557,2.886286379758864e-05,169
G3DSA.1.20.272.60,1.8970532973537353e-05,170
G3DSA.1.10.1520.10,0.0,171
G3DSA.1.20.1440.190,0.0,172
G3DSA.2.60.120.170,0.0,173
G3DSA.1.20.85.20,0.0,174
G3DSA.1.10.1200.170,0.0,175
PF00548,0.0,176
PF00760,0.0,177
G3DSA.3.30.505.20,0.0,178
G3DSA.2.60.40.4030,0.0,179
G3DSA.2.60.120.530,0.0,180
G3DSA.2.60.40.1810,0.0,181
G3DSA.2.60.40.3420,0.0,182
PF00073,0.0,183
G3DSA.3.30.70.2090,0.0,184
PF03233,0.0,185
PF03171,0.0,186
PF03216,0.0,187
PF03033,0.0,188
PF02407,0.0,189
PF03391,0.0,190
PF03251,0.0,191
PF06380,0.0,192
PF06370,0.0,193
PF05903,0.0,194
PF05704,0.0,195
PF04530,0.0,196
PF04851,0.0,197
PF07436,0.0,198
PF07325,0.0,199
PF11252,0.0,200
PF12523,0.0,201
PF07255,0.0,202
PF06839,0.0,203
SSF49818,0.0,204
SSF54423,0.0,205
SSF55658,0.0,206
SSF69065,0.0,207
