feature,mean_abs_shap,rank
SSF52096,2.9780297236426803e-05,163
G3DSA.1.20.1440.190,2.961922045732365e-05,164
PF03033,2.2917181293534002e-05,165
PF17055,1.94403397442965e-05,166
PF04851,1.1968361232072623e-05,167
PF00271,1.183424940435531e-05,168
G3DSA.2.60.110.10,1.1553381868402696e-05,169
G3DSA.3.90.70.80,1.134947425255137e-05,170
PF07124,1.0771804065574494e-05,171
G3DSA.3.40.91.60,9.524306347700156e-06,172
SSF56831,7.786652019587242e-06,173
G3DSA.1.10.1200.170,6.559871191771688e-06,174
SSF49818,5.601492622121788e-06,175
SSF48345,4.757601791382075e-06,176
G3DSA.3.90.226.10,3.7023134866527686e-06,177
PF06839,1.2553237673771745e-06,178
G3DSA.3.40.50.150,0.0,179
PF00692,0.0,180
G3DSA.2.60.34.10,0.0,181
G3DSA.3.30.30.30,0.0,182
PF00073,0.0,183
G3DSA.1.20.58.1200,0.0,184
G3DSA.1.20.272.60,0.0,185
G3DSA.1.10.1520.10,0.0,186
G3DSA.1.20.120.1590,0.0,187
G3DSA.3.40.970.10,0.0,188
G3DSA.3.90.70.150,0.0,189
G3DSA.4.10.60.10,0.0,190
PF03557,0.0,191
PF06380,0.0,192
PF06358,0.0,193
PF05903,0.0,194
PF05733,0.0,195
PF04876,0.0,196
PF02407,0.0,197
PF03310,0.0,198
PF07436,0.0,199
PF15518,0.0,200
PF12603,0.0,201
PF11479,0.0,202
PF07325,0.0,203
PF17464,0.0,204
SSF54001,0.0,205
SSF54423,0.0,206
SSF69065,0.0,207
